사고년도,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2021,서울특별시 영등포구14,서울특별시 영등포구 양평동2가(문래신동아아파트앞교차로 부근),4,4,0,0,2,2,126.8857076,37.52294372
2021,서울특별시 영등포구15,서울특별시 영등포구 영등포동1가(영등포지하차도북측 부근),3,3,1,1,0,1,126.9121599,37.51798571
2021,서울특별시 동작구1,서울특별시 동작구 본동(한강대교남측 부근),12,13,0,3,8,2,126.9560531,37.5138666
2021,서울특별시 동작구2,서울특별시 동작구 흑석동(중앙대병원입구교차로 부근),7,12,0,2,6,4,126.9654067,37.50938742
2021,서울특별시 동작구3,서울특별시 동작구 노량진동(장성교회 부근),6,6,0,2,4,0,126.9400931,37.50820654
2021,서울특별시 동작구4,서울특별시 동작구 사당동(골든시네마타워 부근),6,6,0,0,5,1,126.9810549,37.4848862
2021,서울특별시 동작구5,서울특별시 동작구 신대방동(신대방삼거리역앞교차로 부근),6,6,0,0,3,3,126.9281519,37.4998749
2021,서울특별시 동작구6,서울특별시 동작구 신대방동(대림사거리 부근),4,5,0,3,2,0,126.9060744,37.48910294
2021,서울특별시 관악구1,서울특별시 관악구 신림동(신사동주민센터입구교차로 부근),5,5,1,2,2,0,126.9141402,37.48376508
2021,서울특별시 관악구2,서울특별시 관악구 봉천동(당곡사거리 부근),4,4,0,2,2,0,126.9286079,37.48934974
2021,서울특별시 관악구3,서울특별시 관악구 신림동(신림역사거리 부근),4,4,0,2,2,0,126.9295024,37.48445022
2021,서울특별시 서초구1,서울특별시 서초구 반포동(반포대교 부근),7,7,0,1,6,0,126.9983804,37.51075377
2021,서울특별시 서초구2,서울특별시 서초구 반포동(반포동1329 부근),5,5,0,0,5,0,126.9892694,37.50660078
2021,서울특별시 서초구3,서울특별시 서초구 반포동(반포동1318 부근),4,4,0,0,3,1,126.9852366,37.50022758
2021,서울특별시 강남구1,서울특별시 강남구 수서동(수서IC 부근),5,7,0,1,2,4,127.1036432,37.4916075
2021,서울특별시 강남구2,서울특별시 강남구 일원동(강남구송파구 부근),4,5,0,3,1,1,127.0816636,37.4997341
2021,서울특별시 강남구3,서울특별시 강남구 수서동(수서IC 부근),4,5,0,1,2,2,127.1004804,37.49327517
2021,서울특별시 송파구1,서울특별시 송파구 삼전동(배명고교앞교차로 부근),9,9,0,3,6,0,127.0965858,37.4976678
2021,서울특별시 송파구2,서울특별시 송파구 신천동(잠실대교JC 부근),8,11,0,4,4,3,127.101571,37.52414647
2021,서울특별시 송파구3,서울특별시 송파구 삼전동(배명사거리 부근),8,8,0,3,4,1,127.0969577,37.50238582
2021,서울특별시 송파구4,서울특별시 송파구 잠실동(잠실대교JC 부근),8,10,0,2,5,3,127.0860968,37.51847996
2021,서울특별시 송파구5,서울특별시 송파구 잠실동(청담1교 부근),7,8,0,2,3,3,127.0686129,37.51827346
2021,서울특별시 송파구6,서울특별시 송파구 잠실동(종합운동장분기점 부근),7,10,0,2,1,7,127.078133,37.51864426
2021,서울특별시 송파구7,서울특별시 송파구 잠실동(잠실학원사거리 부근),7,8,0,1,5,2,127.0904736,37.50756277
2021,서울특별시 송파구8,서울특별시 송파구 풍납동(미성카센타 부근),6,7,0,3,3,1,127.1117284,37.53679714
2021,서울특별시 송파구9,서울특별시 송파구 잠실동(잠실지구대 부근),6,6,0,1,4,1,127.0841747,37.51178194
2021,서울특별시 송파구10,서울특별시 송파구 방이동(올림픽공원앞교차로 부근),6,6,0,0,3,3,127.1278951,37.51190645
2021,서울특별시 송파구11,서울특별시 송파구 삼전동(송파구의회구민회관교차로 부근),5,5,0,3,1,1,127.0921974,37.50310315
2021,서울특별시 송파구12,서울특별시 송파구 방이동(송파구청앞교차로 부근),5,5,0,2,3,0,127.107341,37.51561407
2021,서울특별시 송파구13,서울특별시 송파구 송파동(방이동고분군앞교차로 부근),5,5,0,1,4,0,127.1166887,37.50762877
2021,서울특별시 송파구14,서울특별시 송파구 신천동(잠실역사거리 부근),4,4,0,3,1,0,127.1001284,37.51347337
2021,서울특별시 송파구15,서울특별시 송파구 가락동(가락시장역앞교차로 부근),4,7,0,2,5,0,127.1189267,37.49252282
2021,서울특별시 송파구16,서울특별시 송파구 가락동(가락시장앞교차로 부근),4,5,0,2,3,0,127.1137781,37.49795502
2021,서울특별시 송파구17,서울특별시 송파구 장지동(꿈초롱어린이집 부근),4,4,0,2,2,0,127.1408597,37.47517745
2021,서울특별시 송파구18,서울특별시 송파구 방이동(방이삼거리 부근),4,4,0,2,2,0,127.1082772,37.51186752
2021,서울특별시 송파구19,서울특별시 송파구 석촌동(송파사거리 부근),4,5,0,0,5,0,127.1087851,37.5032723
2021,서울특별시 송파구20,서울특별시 송파구 풍납동(올림픽대교남단교차로 부근),4,4,0,0,4,0,127.1172424,37.52561775
2021,서울특별시 송파구21,서울특별시 송파구 문정동(장지동사무소 부근),4,4,0,0,4,0,127.1325002,37.48704976
2021,서울특별시 송파구22,서울특별시 송파구 문정동(문정로데오3거리 부근),4,4,0,0,3,1,127.1239334,37.49010546
2021,서울특별시 송파구23,서울특별시 송파구 가락동(보광빌라 부근),4,4,0,0,3,1,127.1176707,37.49584328
