사고년도,지역,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2018,,서울특별시 중랑구11,서울특별시 중랑구 면목동(장안교사거리 부근),5,5,0,1,3,1,127.0787616,37.58125127
2018,,서울특별시 성북구1,서울특별시 성북구 장위동(장위사거리 부근),9,9,1,3,5,0,127.0605692,37.61315115
2018,,서울특별시 성북구2,서울특별시 성북구 하월곡동(GS칼텍스 효성주유소 부근),5,5,0,1,3,1,127.0357821,37.60273972
2018,,서울특별시 성북구3,서울특별시 성북구 석관동(돌곶이역 부근),5,5,0,1,3,1,127.057026,37.61056998
2018,,서울특별시 성북구4,서울특별시 성북구 하월곡동(월곡연세가정의학과의원 부근),4,4,0,0,3,1,127.0366739,37.60706132
2018,,서울특별시 강북구1,서울특별시 강북구 수유동(수유사거리 부근),6,6,0,3,3,0,127.0243586,37.63553073
2018,,서울특별시 강북구2,서울특별시 강북구 수유동(선아트빌 부근),6,7,0,1,6,0,127.0106033,37.64588753
2018,,서울특별시 강북구3,서울특별시 강북구 번동(모아한의원 수유점 부근),5,6,0,0,6,0,127.0314679,37.6354097
2018,,서울특별시 강북구4,서울특별시 강북구 미아동(한국전력공사 강북성북지사 부근),5,5,0,0,4,1,127.0249245,37.63035472
2018,,서울특별시 강북구5,서울특별시 강북구 수유동(한신대사거리 부근),4,7,0,3,4,0,127.0156263,37.63403231
2018,,서울특별시 강북구6,서울특별시 강북구 수유동(서울수유3동우체국 부근),4,5,0,2,2,1,127.0286732,37.6409156
2018,,서울특별시 강북구7,서울특별시 강북구 번동(번동중학교정문 부근),4,4,0,2,2,0,127.0362866,37.63293729
2018,,서울특별시 강북구8,서울특별시 강북구 수유동(광산교회 부근),4,5,0,1,4,0,127.0217494,37.6435618
2018,,서울특별시 강북구9,서울특별시 강북구 미아동(삼양입구사거리 부근),4,6,0,0,6,0,127.0298221,37.61744471
2018,,서울특별시 도봉구1,서울특별시 도봉구 방학동(서울문화고교 부근),7,7,0,4,3,0,127.0464906,37.664664
2018,,서울특별시 도봉구2,서울특별시 도봉구 방학동(로뎀감리교회 부근),7,8,0,2,4,2,127.0334426,37.66724895
2018,,서울특별시 도봉구3,서울특별시 도봉구 도봉동(도봉1교 부근),6,6,0,4,2,0,127.0515536,37.67901165
2018,,서울특별시 도봉구4,서울특별시 도봉구 도봉동(신도봉사거리 부근),5,5,0,4,1,0,127.0438234,37.67117327
2018,,서울특별시 노원구1,서울특별시 노원구 공릉동(노원문화원 부근),4,5,0,1,2,2,127.0698725,37.62854842
2018,,서울특별시 노원구2,서울특별시 노원구 중계동(수암초교앞삼거리 부근),4,4,0,1,2,1,127.0811169,37.64883117
2018,,서울특별시 노원구3,서울특별시 노원구 상계동(상계11-13단지사거리 부근),4,4,0,0,3,1,127.0561779,37.66706629
2018,,서울특별시 은평구1,서울특별시 은평구 신사동(신사오거리 부근),8,9,0,3,4,2,126.9157877,37.59910228
2018,,서울특별시 은평구2,서울특별시 은평구 불광동(불광역6호선 부근),7,8,0,3,3,2,126.9289301,37.61146362
2018,,서울특별시 은평구3,서울특별시 은평구 응암동(응암오거리 부근),5,5,0,1,2,2,126.9173349,37.59023623
2018,,서울특별시 서대문구1,서울특별시 서대문구 북가좌동(북가좌사거리 부근),5,5,0,1,1,3,126.9133522,37.58252421
2018,,서울특별시 마포구1,서울특별시 마포구 망원동(한강빌딩 부근),8,8,0,2,5,1,126.9049921,37.56150952
2018,,서울특별시 마포구2,서울특별시 마포구 마포동(마포역 4번출구 부근),5,5,0,2,3,0,126.9458546,37.53961624
2018,,서울특별시 마포구3,서울특별시 마포구 망원동(망원우체국사거리 부근),5,6,0,1,3,2,126.9081866,37.55826515
2018,,서울특별시 마포구4,서울특별시 마포구 합정동(홀트아동복지회 부근),4,4,0,1,3,0,126.9117808,37.54897221
2018,,서울특별시 양천구1,서울특별시 양천구 목동(오목수변공원 부근),6,6,0,2,1,3,126.8783737,37.5248346
2018,,서울특별시 양천구2,서울특별시 양천구 신월동(성창빌딩 앞 부근),5,5,1,2,2,0,126.836923,37.52272496
